WISE3_id,ISO,DESCR,DATEYR,DATEMON,SOLDEP,HORNUM,FAO_90,PHA_90,FAO_74,PHA_74,WRB2006,USCL,USYR,LOCAL,LONDD,LATDD,LONLAT_ACC,LOCAT,KOPPEN,ALTIT,LFORM,POSIT,SLOPE,PARMAT,DRAIN,LANDUS,SOURCE_ID,PITREF,LAB_ID,COUNTRY
"BJ0829","BJ","3",,,100,4,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJIGAC2","BJ01","Benin"
"BJ0830","BJ","3",,,120,4,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJIGA5","BJ01","Benin"
"BJ0831","BJ","3",,,120,5,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJIGL11","BJ01","Benin"
"BJ0832","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR384","BJ01","Benin"
"BJ0833","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR75","BJ01","Benin"
"BJ0834","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR65","BJ01","Benin"
"BJ0835","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR63","BJ01","Benin"
"BJ0836","BJ","3",,,150,5,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJV/3-2","BJ01","Benin"
"BJ0837","BJ","3",,,120,5,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJIGL10","BJ01","Benin"
"BJ0838","BJ","3",,,100,4,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJIGAA36","BJ01","Benin"
"BJ0839","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR172","BJ01","Benin"
"BJ0840","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR406","BJ01","Benin"
"BJ0841","BJ","3",,,120,4,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJIGP1","BJ01","Benin"
"BJ0842","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR169","BJ01","Benin"
"BJ0843","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR215","BJ01","Benin"
"BJ0844","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR445","BJ01","Benin"
"BJ0845","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR443","BJ01","Benin"
"BJ0846","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR148","BJ01","Benin"
"BJ0847","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR437","BJ01","Benin"
"BJ0848","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR133","BJ01","Benin"
"BJ0849","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR130","BJ01","Benin"
"BJ0850","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"M",,"SOTER_BJ","BJR432","BJ01","Benin"
"BJ0851","BJ","3",,,100,3,"VRe",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR449","BJ01","Benin"
"BJ0852","BJ","3",,,75,2,"VRk",,"Vp",,"VR",,,,,,"-",,,,,,,,"W",,"SOTER_BJ","BJR238","BJ01","Benin"
"BJ0853","BJ","3",1977,,200,5,"ACf",,"Af",,"AC",,,"Sol peu lessive sur roches leucocrates",1.3666700000000001e+00,1.0300000000000001e+01,"M","Toukountouna area","Aw",,"LP","LS","2","MA1","W","U","AF3/80","Profile UC20, p. 24","BJ01","Benin"
"BJ0854","BJ","3",1977,,200,4,"ACf",,"Af","ST","AC",,,"Sol ferralitique typique faiblement rajeuni",1.5833299999999999e+00,9.3666699999999992e+00,"M","Bodo area","Aw",410,"LL",,,"MB3","W","U","AF3/78","Profile JSM91, p. 38","BJ01","Benin"
"BJ0855","BJ","3",1977,,200,5,"CMg",,"Bg",,"CM",,,"Sol peu lessive hydromorphe sur gneiss",2.0666699999999998e+00,9.7500000000000000e+00,"M","Djougou-Affon area","Aw",300,"SH",,,"MB3","M","U","AF3/78","Profile UC28, p. 27","BJ01","Benin"
"BJ0856","BJ","3",1977,,200,5,"CMo",,"Bf",,"CM",,,"Sol peu lessive en argile",2.0666699999999998e+00,9.5999999999999996e+00,"M","Sakouna area","Aw",500,"SH","UP",,"MA2","W","U","AF3/78","Profile JSM42, p. 24","BJ01","Benin"
"BJ0857","BJ","3",1977,,220,4,"CMo",,"Bf",,"CM",,,"Sol ferralitique moyenement desat. en (B) rajeuni",1.5833299999999999e+00,9.7833299999999994e+00,"M","Pabegou area","Aw",490,"LL","UP",,"MA2","M","U","AF3/78","Profile JTN66, p. 41","BJ01","Benin"
"BJ0858","BJ","3",1977,,110,4,"LVh",,"Lo",,"LV",,,"Sol peu lessive, hydromorphe",2.1333299999999999e+00,1.0833330000000000e+01,"M","Alibori area, East of Kerou","Aw",,"SH","MS",,"MA2","M","U","AF3/80","Profile XSI84, p. 34","BJ01","Benin"
"BJ0859","BJ","3",1977,,200,5,"PLe",,"We",,"PL",,,"Sol hydromorphe sur schistes et plaquettes",1.1499999999999999e+00,1.0833330000000000e+01,"M","Pandjari, Oti plain","Aw",,"LP","LS",,"MA4","M","U","AF3/80","Profile JAR13, p. 49","BJ01","Benin"
"BJ0860","BJ","3",1977,,180,4,"RGe","RU","Rd","ST","RG",,,"Sol peu evolue d'erosion lithique",1.3666700000000001e+00,1.0300000000000001e+01,"M","Toukountouna area","Aw",,"SM",,,"MA1","W","U","AF3/80","Profile JKA90, p. 25","BJ01","Benin"
"BO0001","BO","2",,,70,5,"CMe",,"Be",,"CM",,,,-6.8779719999999998e+01,-1.4119719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-2-415","XX03","Bolivia"
"BO0002","BO","2",,,150,4,"GLd",,"Gd",,"GL",,,,-6.4620000000000005e+01,-1.3100000000000000e+01,"S",,,180,,,,,"I",,"SOTERLAC2","BO-8-MC407","XX03","Bolivia"
"BO0003","BO","2",1974,9,100,5,"PHh",,"Hh",,"PH",,,,-6.7750000000000000e+01,-1.6129719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-2-3M","XX03","Bolivia"
"BO0004","BO","2",1974,9,72,5,"RGd",,"Rd",,"RG",,,,-6.7719999999999999e+01,-1.6120000000000001e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-2-13","XX03","Bolivia"
"BO0005","BO","2",1978,4,100,4,"CMe",,"Be",,"CM",,,,-6.8199719999999999e+01,-1.8870000000000001e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-88","XX03","Bolivia"
"BO0006","BO","2",1978,3,160,5,"CMe",,"Be",,"CM",,,,-6.6900000000000006e+01,-1.8430000000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-24","XX03","Bolivia"
"BO0007","BO","2",1978,8,80,3,"CMo",,"Bf",,"CM",,,,-6.1149999999999999e+01,-1.6949999999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-7-57/1","XX03","Bolivia"
"BO0008","BO","2",1978,4,102,4,"CMx",,"Bc",,"CM",,,,-6.7870000000000005e+01,-1.8530000000000001e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-93","XX03","Bolivia"
"BO0009","BO","2",1978,4,70,4,"CMx",,"Bc",,"CM",,,,-6.8699719999999999e+01,-1.7969719999999999e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-59","XX03","Bolivia"
"BO0010","BO","2",1978,3,37,3,"CMx",,"Bc",,"CM",,,,-6.7199719999999999e+01,-1.7600000000000001e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-4-5","XX03","Bolivia"
"BO0011","BO","2",1978,7,150,4,"FRh",,"Fo",,"FR",,,,-6.0899999999999999e+01,-1.7219719999999999e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-7-7","XX03","Bolivia"
"BO0012","BO","2",1978,9,130,5,"FRh",,"Fo",,"FR",,,,-6.0869720000000001e+01,-1.7680000000000000e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-7-135","XX03","Bolivia"
"BO0013","BO","2",1978,9,170,5,"LVx",,"Lc",,"LV",,,,-6.0649999999999999e+01,-1.7949999999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-7-115","XX03","Bolivia"
"BO0014","BO","2",1978,4,100,4,"RGe",,"Re",,"RG",,,,-6.7779719999999998e+01,-1.9629719999999999e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-41","XX03","Bolivia"
"BO0015","BO","2",1978,3,70,4,"RGe",,"Re",,"RG",,,,-6.7180000000000007e+01,-1.7620000000000001e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-6","XX03","Bolivia"
"BO0016","BO","2",1979,11,110,3,"CMe",,"Be",,"CM",,,,-6.6370000000000005e+01,-1.7579719999999998e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-3-394","XX03","Bolivia"
"BO0017","BO","2",1979,11,120,4,"KSk",,"Kk",,"KS",,,,-6.4500000000000000e+01,-1.8129719999999999e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-3-372","XX03","Bolivia"
"BO0018","BO","2",1980,9,95,5,"CMe",,"Be",,"CM",,,,-6.5430000000000007e+01,-2.0930000000000000e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-1-667","XX03","Bolivia"
"BO0019","BO","2",1980,6,88,4,"CMe",,"Be",,"CM",,,,-6.6199719999999999e+01,-1.7420000000000002e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-3-147","XX03","Bolivia"
"BO0020","BO","2",1980,5,75,5,"CMo",,"Bf",,"CM",,,,-6.5299999999999997e+01,-1.6920000000000002e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-3-528","XX03","Bolivia"
"BO0021","BO","2",1980,6,100,3,"FLe",,"Je",,"FL",,,,-6.6299999999999997e+01,-1.7379719999999999e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-3-145","XX03","Bolivia"
"BO0022","BO","2",1980,5,90,4,"GLe",,"Ge",,"GL",,,,-6.5419719999999998e+01,-1.6729720000000000e+01,"S",,,,,,,,"P",,"SOTERLAC2","BO-3-575","XX03","Bolivia"
"BO0023","BO","3",1980,7,50,2,"LPe",,"E",,"LP",,,,-6.5849720000000005e+01,-1.7879719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-3-725","XX03","Bolivia"
"BO0024","BO","2",1980,6,25,2,"LPm",,"E",,"LP",,,,-6.6029719999999998e+01,-1.6819720000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-3-708","XX03","Bolivia"
"BO0025","BO","2",1980,8,150,5,"LVh",,"Lo",,"LV",,,,-6.2719999999999999e+01,-1.9569720000000000e+01,"S",,,,,,,,"P",,"SOTERLAC2","BO-7-57","XX03","Bolivia"
"BO0026","BO","2",1980,8,115,3,"LVh",,"Lo",,"LV",,,,-6.5319720000000004e+01,-1.9000000000000000e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-1-641","XX03","Bolivia"
"BO0027","BO","2",1980,6,120,3,"PHl",,"Hl",,"PH",,,,-6.6019720000000007e+01,-1.7100000000000001e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-3-675","XX03","Bolivia"
"BO0028","BO","2",1980,5,40,3,"RGe",,"Re",,"RG",,,,-6.6650000000000006e+01,-1.7049720000000001e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-3-116","XX03","Bolivia"
"BO0029","BO","2",1981,4,100,4,"CMx",,"Bc",,"CM",,,,-6.8730000000000004e+01,-1.7979720000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-4-60","XX03","Bolivia"
"BO0030","BO","2",1981,8,120,4,"CMx",,"Bc",,"CM",,,,-6.3020000000000003e+01,-2.1629719999999999e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-6-830","XX03","Bolivia"
"BO0031","BO","2",1981,9,80,2,"FLe",,"Je",,"FL",,,,-6.2479720000000000e+01,-2.1020000000000000e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-6-266","XX03","Bolivia"
"BO0032","BO","3",1981,9,25,2,"LPe",,"Re",,"LP",,,,-6.7319720000000004e+01,-2.1719719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-5-911","XX03","Bolivia"
"BO0033","BO","2",1981,6,20,1,"LPu",,"U",,"UM",,,,-6.3520000000000003e+01,-2.0399719999999999e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-7-215","XX03","Bolivia"
"BO0034","BO","3",1981,5,75,4,"LXh",,"Lo",,"LX",,,,-6.5799999999999997e+01,-2.1850000000000001e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-5-391","XX03","Bolivia"
"BO0035","BO","2",1981,4,105,4,"RGe",,"Re",,"RG",,,,-6.8879720000000006e+01,-1.8549720000000001e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-4-76","XX03","Bolivia"
"BO0036","BO","2",1981,4,80,3,"SCg",,"Zg",,"SC",,,,-6.8329999999999998e+01,-2.0649719999999999e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-5-171","XX03","Bolivia"
"BO0037","BO","2",1981,4,40,3,"SNh",,"So",,"SN",,,,-6.6629720000000006e+01,-2.0719719999999999e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-5-744","XX03","Bolivia"
"BO0038","BO","2",1982,8,130,5,"LXg",,"Lg",,"LX",,,,-6.3200000000000003e+01,-1.5579720000000000e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-7-Y23","XX03","Bolivia"
"BO0039","BO","2",1982,12,120,3,"LXh",,"Lo",,"LX",,,,-6.8579999999999998e+01,-1.3270000000000000e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-2-479","XX03","Bolivia"
"BO0040","BO","2",1982,8,110,3,"LXh",,"Lo",,"LX",,,,-6.2930000000000000e+01,-1.5500000000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-7-U","XX03","Bolivia"
"BO0041","BO","2",1985,9,160,5,"FLe",,"Je",,"FL",,,,-6.7799999999999997e+01,-1.6770000000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-2-4","XX03","Bolivia"
"BO0042","BO","2",1987,8,130,4,"ACf",,"Af",,"AC",,,,-6.0719999999999999e+01,-1.3899720000000000e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-7-2","XX03","Bolivia"
"BO0043","BO","2",1987,8,145,5,"ACh",,"Ao",,"AC",,,,-6.0479720000000000e+01,-1.4600000000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-7-5","XX03","Bolivia"
"BO0044","BO","2",1987,8,100,4,"ARo",,"Qf",,"AR",,,,-5.9329999999999998e+01,-1.7500000000000000e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-7-14","XX03","Bolivia"
"BO0045","BO","2",1987,7,100,5,"CMo",,"Bf",,"CM",,,,-6.7269720000000007e+01,-1.4649720000000000e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-8-4/1","XX03","Bolivia"
"BO0046","BO","2",1987,11,70,4,"CMu",,"Bh",,"UM",,,,-6.3520000000000003e+01,-1.8100000000000001e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-7-206","XX03","Bolivia"
"BO0047","BO","2",1987,8,73,3,"CMx",,"Bc",,"CM",,,,-6.6319720000000004e+01,-1.4449719999999999e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-8-SAB-B","XX03","Bolivia"
"BO0048","BO","2",1987,7,100,4,"FLd",,"Jd",,"FL",,,,-6.7129720000000006e+01,-1.4949719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-2-1","XX03","Bolivia"
"BO0049","BO","2",1987,7,150,5,"FRh",,"Fo",,"FR",,,,-6.1219999999999999e+01,-1.4619719999999999e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-7-1","XX03","Bolivia"
"BO0050","BO","2",1988,8,126,4,"ARh",,"Qc",,"AR",,,,-5.8700000000000003e+01,-1.8649719999999999e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-7-102","XX03","Bolivia"
"BO0051","BO","2",1988,8,110,3,"ARh",,"Qc",,"AR",,,,-5.9950000000000003e+01,-1.8629719999999999e+01,"S",,,,,,,,"S",,"SOTERLAC2","BO-7-110","XX03","Bolivia"
"BO0052","BO","2",1988,8,55,3,"CMd",,"Bd",,"CM",,,,-5.9899999999999999e+01,-1.7819720000000000e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-7-13","XX03","Bolivia"
"BO0053","BO","2",1988,8,107,5,"FLe",,"Je",,"FL",,,,-6.2919719999999998e+01,-1.7069720000000000e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-7-125","XX03","Bolivia"
"BO0054","BO","2",1988,8,80,4,"FRh",,"Fo",,"FR",,,,-6.1979720000000000e+01,-1.6020000000000000e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-7-20A","XX03","Bolivia"
"BO0055","BO","2",1988,4,10,1,"LPq",,"I",,"LP",,,,-6.6379720000000006e+01,-1.9729720000000000e+01,"S",,,,,,,,"W",,"SOTERLAC2","BO-5-162","XX03","Bolivia"
"BO0056","BO","2",1988,8,110,5,"LVh",,"Lo",,"LV",,,,-5.8829999999999998e+01,-1.8699999999999999e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-7-101","XX03","Bolivia"
"BO0057","BO","2",1988,8,55,4,"RGd",,"Rd",,"RG",,,,-6.2200000000000003e+01,-1.6199999999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-7-21","XX03","Bolivia"
"BO0058","BO","2",1988,8,118,5,"SNh",,"So",,"SN",,,,-5.9299720000000001e+01,-1.8479720000000000e+01,"S",,,,,,,,"P",,"SOTERLAC2","BO-7-101A","XX03","Bolivia"
"BO0059","BO","2",1990,7,100,5,"CMo",,"Bf",,"CM",,,,-6.6500000000000000e+01,-1.4670000000000000e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-8-6","XX03","Bolivia"
"BO0060","BO","2",1990,7,102,4,"LVg",,"Lg",,"LV",,,,-6.5549999999999997e+01,-1.5079720000000000e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-8-10","XX03","Bolivia"
"BO0061","BO","2",1990,7,110,5,"LVx",,"Lc",,"LV",,,,-6.7120000000000005e+01,-1.5369719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-8-4","XX03","Bolivia"
"BO0062","BO","2",1990,7,100,5,"LVx",,"Lc",,"LV",,,,-6.6519720000000007e+01,-1.5199719999999999e+01,"S",,,,,,,,"M",,"SOTERLAC2","BO-8-9","XX03","Bolivia"
"BO0063","BO","2",1992,7,120,4,"ACh",,"Ao",,"AC",,,,-6.9349720000000005e+01,-1.1130000000000001e+01,"S",,,,,,,,"W",,"SOTERLAC2","BOpa/zo/P146","XX03","Bolivia"
"BO0064","BO","2",1992,4,200,4,"FRh",,"Fo",,"FR",,,,-6.5599720000000005e+01,-1.0279719999999999e+01,"S",,,122,,,,,"I",,"SOTERLAC2","BO-9-184","XX03","Bolivia"
"BO0065","BO","2",1992,4,200,4,"FRh",,"Fo",,"FR",,,,-6.6169719999999998e+01,-1.1850000000000000e+01,"S",,,185,,,,,"M",,"SOTERLAC2","BO-9-197","XX03","Bolivia"
"BO0066","BO","2",1992,6,200,4,"FRh",,"Fo",,"FR",,,,-6.7400000000000006e+01,-1.0970000000000001e+01,"S",,,142,,,,,"W",,"SOTERLAC2","BO-9-13","XX03","Bolivia"
"BO0067","BO","2",1992,7,120,4,"LXh",,"Lo",,"LX",,,,-6.7400000000000006e+01,-1.0569720000000000e+01,"S",,,165,,,,,"W",,"SOTERLAC2","BOpa/zo/P154","XX03","Bolivia"
"BO0068","BO","2",1993,8,200,4,"GLd",,"Gd",,"GL",,,,-6.6930000000000007e+01,-1.1229720000000000e+01,"S",,,130,,,,,"P",,"SOTERLAC2","BO-9-614","XX03","Bolivia"
"BO0069","BO","2",1994,8,100,5,"FLs",,"Zo",,"FL",,,,-6.8569720000000004e+01,-1.6430000000000000e+01,"S",,,3820,,,,,"I",,"SOTERLAC2","BO-2-51","XX03","Bolivia"
"BO0070","BO","2",1994,8,125,5,"PHl",,"Hl",,"PH",,,,-6.8549999999999997e+01,-1.6299720000000001e+01,"S",,,,,,,,"I",,"SOTERLAC2","BO-2-5","XX03","Bolivia"
"BO0071","BO","2",1995,7,130,4,"CHl",,"Cl",,"CH",,,,-6.3599719999999998e+01,-2.1690000000000001e+01,"S",,,400,,,,,"M",,"SOTERLAC2","BOtr/zo/P078","XX03","Bolivia"
"BO0072","BO","2",1995,7,150,4,"PHl",,"Hl",,"PH",,,,-6.3459719999999997e+01,-2.1670000000000002e+01,"S",,,590,,,,,"M",,"SOTERLAC2","BOtr/zo/P073","XX03","Bolivia"
"BO0073","BO","2",1995,7,150,4,"SCh",,"Zo",,"SC",,,,-6.3219999999999999e+01,-2.1350000000000001e+01,"S",,,250,,,,,"I",,"SOTERLAC2","BOtr/zo/P020","XX03","Bolivia"
"BR0001","BR","2",,,130,4,"ACf",,"Af",,"AC",,,,-5.5569719999999997e+01,-6.4097200000000001e+00,"S",,,160,,,,,"M",,"SOTERLAC2","BRpaRM7/P30","XX03","Brazil"
"BR0002","BR","3",,,120,6,"ACf",,"Af",,"AC","Aquic Orthoxic Tropudult","1970","Podzolico Vermelho Amarelo Alico",-7.1200000000000003e+01,-8.6166699999999992e+00,"M","Mun.Tarauaca","Am",,"LP","MS",,"S","M",,"LA36-37-12","pr.2, p.215-6; ""Cochrane e.a.1985"" Land System 374","BR04","Brazil"
"BR0003","BR","2",,,160,5,"ACf",,"Af",,"AC",,,,-6.2259720000000002e+01,-1.1279719999999999e+01,"S",,,325,,,,,"W",,"SOTERLAC2","BRroRM16/P195","XX03","Brazil"
"BR0004","BR","2",,,110,5,"ACf",,"Af",,"AC",,,,-6.2319719999999997e+01,3.1699999999999999e+00,"S",,,550,,,,,"W",,"SOTERLAC2","BRrrRM8/P20","XX03","Brazil"
"BR0005","BR","3",,,140,5,"ACf",,"Af",,"AC","Tropudult","1970","Podzolico Vermelho Amarelo",-6.2916670000000003e+01,2.2166700000000001e+00,"M",,"Am",,"SH","LS","17","IA1","W",,"LA36-37-8","pr.38,p.227-8; ""Cochrane e.a.1985"" Land System 257","BR01","Brazil"
"BR0006","BR","3",,,170,6,"ACf",,"Af",,"AC","Tropudult","1970","Podzolico Vermelho Amarelo Eutrofico",-6.8000000000000000e+01,-9.8000000000000007e+00,"M","Mun.Rio Branco","Am",,"LP",,"1","S","W","U","LA36-37-12","pr.44,p.226; ""Cochrane e.a.1985"" Land System 366","BR04","Brazil"
"BR0007","BR","2",,,170,5,"ACf",,"Af",,"AC",,,,-4.9450000000000003e+01,-9.1997199999999992e+00,"S",,,180,,,,,"M",,"SOTERLAC2","BRgoRM22/P138","XX03","Brazil"
"BR0008","BR","2",,,180,6,"ACf",,"Af",,"AC",,,,-6.7760000000000005e+01,-1.0119719999999999e+01,"S",,,220,,,,,"M",,"SOTERLAC2","BRroRM12/P49","XX03","Brazil"
"BR0009","BR","2",,,170,7,"ACf",,"Af",,"AC",,,,-6.4079999999999998e+01,-1.1119719999999999e+01,"S",,,200,,,,,"W",,"SOTERLAC2","BRroRM16/P188","XX03","Brazil"
"BR0010","BR","2",,,150,6,"ACf",,"Af",,"AC",,,,-6.9379720000000006e+01,-9.7699999999999996e+00,"S",,,210,,,,,"M",,"SOTERLAC2","BRacRM12/P21","XX03","Brazil"
"BR0011","BR","2",,,150,5,"ACf",,"Af",,"AC",,,,-6.3619720000000001e+01,1.7500000000000000e+00,"S",,,120,,,,,"W",,"SOTERLAC2","BRamRM8/P47","XX03","Brazil"
"BR0012","BR","2",,,45,3,"ACf",,"Af",,"AC",,,,-6.1779719999999998e+01,2.5997200000000000e+00,"S",,,120,,,,,"W",,"SOTERLAC2","BRrrRM8/P36","XX03","Brazil"
"BR0013","BR","2",,,150,4,"ACf",,"Af",,"AC",,,,-6.7370000000000005e+01,2.0297200000000002e+00,"S",,,160,,,,,"W",,"SOTERLAC2","BRamRM11/P33","XX03","Brazil"
"BR0014","BR","2",,,110,5,"ACf",,"Af",,"AC",,,,-6.2310000000000002e+01,-1.2029719999999999e+01,"S",,,400,,,,,"W",,"SOTERLAC2","BRroRM19/P15","XX03","Brazil"
"BR0015","BR","2",,,150,5,"ACf",,"Af",,"AC",,,,-5.9719999999999999e+01,2.5000000000000000e-01,"S",,,250,,,,,"W",,"SOTERLAC2","BRrrRM9/P6","XX03","Brazil"
"BR0016","BR","2",,,90,5,"ACf",,"Af",,"AC",,,,-5.6849719999999998e+01,1.3300000000000001e+00,"S",,,225,,,,,"W",,"SOTERLAC2","BRpaRM9/P24","XX03","Brazil"
"BR0017","BR","2",,,155,4,"ACf",,"Af",,"AC",,,,-4.3130000000000003e+01,-7.7800000000000002e+00,"S",,,350,,,,,"M",,"SOTERLAC2","BRpiRM2/P11","XX03","Brazil"
"BR0018","BR","2",,,90,4,"ACf",,"Af",,"AC",,,,-6.1149999999999999e+01,-1.0779719999999999e+01,"S",,,300,,,,,"W",,"SOTERLAC2","BRmtRM16/P182","XX03","Brazil"
"BR0019","BR","2",,,110,5,"ACf",,"Af",,"AC",,,,-5.4130000000000003e+01,6.9999999999999996e-01,"S",,,350,,,,,"W",,"SOTERLAC2","BRpaRM9/P41","XX03","Brazil"
"BR0020","BR","3",,,160,6,"ACf",,"Af",,"AC","Orthoxic Tropudult","1975","Podzolico Vermelho Amarelo Alico",-7.2650000000000006e+01,-8.1333300000000008e+00,"M","Mun.Cruzeiro do Sul, Acre State","Am",,"SP",,"20","S","M","U","LA36-37-13","pr.60, p.208; ""Cochrane e.a. 1985"" Land System 229","BR03","Brazil"
"BR0021","BR","2",,,170,5,"ACh",,"Ao",,"AC",,,,-5.8139719999999997e+01,-1.0409720000000000e+01,"S",,,300,,,,,"W",,"SOTERLAC2","BRmtRM20/P145","XX03","Brazil"
"BR0022","BR","2",,,100,4,"ACh",,"Ao",,"AC",,,,-6.0419719999999998e+01,-1.4140000000000001e+01,"S",,,450,,,,,"W",,"SOTERLAC2","BRmtRM19/P88","XX03","Brazil"
"BR0023","BR","2",,,100,5,"ACh",,"Ao",,"AC",,,,-5.9630000000000003e+01,-1.1430000000000000e+01,"S",,,400,,,,,"W",,"SOTERLAC2","BRmtRM20/P206","XX03","Brazil"
"BR0024","BR","2",,,170,6,"ACh",,"Ao",,"AC",,,,-5.7849719999999998e+01,-1.1300000000000001e+01,"S",,,350,,,,,"W",,"SOTERLAC2","BRmtRM20/P223","XX03","Brazil"
